,City,Country,Date,Cloudiness,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,cayenne,GF,1578958864,90,83,4.93,-52.33,299.15,2.6
1,semey,KZ,1578958864,67,92,50.41,80.23,258.84,1.93
2,sao joao da barra,BR,1578958864,100,92,-21.64,-41.05,297.71,4.21
3,salalah,OM,1578958865,0,25,17.02,54.09,292.15,4.6
4,husavik,IS,1578958865,90,80,66.04,-17.34,274.15,8.7
5,hithadhoo,MV,1578958865,100,72,-0.6,73.08,301.02,4.4
6,balloch,GB,1578958865,98,75,56.0,-4.58,279.26,13.9
7,jamestown,US,1578958865,90,86,42.1,-79.24,277.15,5.1
8,atuona,PF,1578958866,9,76,-9.8,-139.03,300.84,6.83
9,ushuaia,AR,1578958866,90,87,-54.8,-68.3,285.15,3.6
10,bethel,US,1578958866,90,100,41.37,-73.41,280.37,1.0
11,punta arenas,CL,1578958697,75,62,-53.15,-70.92,288.15,7.2
12,berlevag,NO,1578958867,90,86,70.86,29.09,270.15,9.8
13,diebougou,BF,1578958867,0,18,10.97,-3.25,296.38,5.1
14,lamar,US,1578958867,90,62,33.67,-95.58,288.15,4.1
15,egvekinot,RU,1578958867,100,100,66.32,-179.17,249.03,1.77
16,puerto ayora,EC,1578958668,90,69,-0.74,-90.35,301.15,6.2
17,itanagar,IN,1578958868,0,48,27.1,93.62,285.42,1.46
18,bluff,NZ,1578958868,26,52,-46.6,168.33,288.72,3.11
19,cape town,ZA,1578958683,20,94,-33.93,18.42,294.82,5.7
20,kavaratti,IN,1578958868,3,69,10.57,72.64,300.58,4.47
21,thompson,CA,1578958868,90,84,55.74,-97.86,257.15,2.6
22,mataura,NZ,1578958869,21,54,-46.19,168.86,292.04,1.1
23,rikitea,PF,1578958869,0,80,-23.12,-134.97,298.73,4.51
24,ust-nera,RU,1578958869,100,99,64.57,143.2,237.7,1.31
25,chokurdakh,RU,1578958870,99,96,70.63,147.92,245.33,0.71
26,norman wells,CA,1578958870,5,75,65.28,-126.83,245.15,5.1
27,victoria,HK,1578958763,20,72,22.29,114.16,291.15,6.7
28,san cristobal,VE,1578958870,40,61,7.77,-72.22,301.15,1.0
29,kantunilkin,MX,1578958939,40,83,21.09,-87.45,300.15,3.1
30,manggar,ID,1578958939,95,81,-2.88,108.27,300.47,5.05
31,buncrana,IE,1578958940,93,83,55.13,-7.45,274.96,5.06
